fichero	motivo	title_nuevo	meta_description_nueva
tpv-tienda-artesania.html	plantilla	TPV para Tiendas de Artesanía | Piezas Únicas sin Código	Alta rápida de piezas sin código de barras y control del depósito de cada artesano, con su liquidación por separado. Ticket con QR de la AEAT.
tpv-tienda-electrodomesticos.html	plantilla	TPV para Electrodomésticos | Nº de Serie y Garantías	Guarda el número de serie de cada aparato para poder atender la garantía dos años después, y organiza las entregas a domicilio pendientes.
tpv-tienda-manga-comics.html	plantilla	TPV para Tiendas de Manga y Cómics | Series y Reservas	Reservas de novedades por colección y aviso al cliente cuando llega su tomo. Miles de referencias en el plan gratuito, sin cuota.
tpv-tienda-iluminacion.html	plantilla	TPV para Iluminación | Catálogo, Potencias y Presupuestos	Busca por modelo, potencia y casquillo, y pasa un presupuesto a instalador sin salir del programa. Se instala en tu PC en un minuto.
tpv-tienda-antiguedades.html	plantilla	TPV para Anticuarios | Pieza Única, Procedencia y Margen	Cada pieza con su procedencia, su precio de compra y su margen real, porque en anticuario no hay dos artículos iguales ni dos costes iguales.
tpv-tienda-manualidades.html	plantilla	TPV para Manualidades | Miles de Referencias Pequeñas	Miles de referencias de poco importe con código propio, venta por unidad o por lote y recuento de inventario sin cerrar la tienda.
tpv-lavanderia-tintoreria.html	plantilla	TPV para Tintorerías | Resguardo, Prenda y Recogida	Resguardo numerado por prenda, cobro al retirar y aviso de lo que lleva semanas sin recoger. TPV local para Windows, sin cuota mensual.
tpv-textil-hogar.html	plantilla	TPV para Textil Hogar | Medidas de Cama y Juegos	Sábanas y juegos ordenados por medida de cama (90, 135, 150) y tejido vendido por metros, con el stock cuadrado en las dos formas.
tpv-tienda-bicicletas.html	plantilla	TPV para Tiendas de Bicicletas | Taller y Nº de Cuadro	Número de cuadro en la ficha y órdenes de taller con su fecha de entrega, para que la reparación no dependa de un cuaderno.
tpv-tienda-parafarmacia.html	plantilla	TPV para Parafarmacias | Lotes y Fechas de Caducidad	Lote y caducidad en cada entrada de mercancía, para retirar a tiempo lo que va a caducar en vez de descubrirlo en el inventario.
tpv-tienda-cosmetica-natural.html	plantilla	TPV para Cosmética Natural | Lotes, Caducidad y Granel	Venta a granel y recarga de envase sin descontar un envase nuevo del stock, con lote y caducidad en cada producto.
tpv-tienda-pesca-caza.html	plantilla	TPV para Tiendas de Pesca y Caza | Temporada y Stock	Campañas de temporada con el stock que queda al cerrar la veda, para saber qué reponer y qué no antes del año siguiente.
tpv-tienda-decoracion.html	plantilla	TPV para Decoración | Complementos, Menaje y Regalo	Complementos, menaje y regalo con alta rápida por referencia y campañas de temporada, separado del catálogo de mueble grande.
tpv-tienda-optica.html	acentos	TPV para Ópticas | Graduaciones, Monturas y Encargos	Graduación por cliente en su ficha y control de las lentes que están pedidas al laboratorio, con la montura ya reservada.
tpv-floristeria.html	acentos	TPV para Floristerías | Encargos, Fechas y Entregas	Pedidos con dirección de entrega distinta de quien paga, picos de San Valentín o Todos los Santos y merma de flor fresca. Ticket con QR AEAT.
